x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
18,18,0.0,anova,MNAR,8.790522273524147e-146,0.4915858741078003
18,18,0.0,kruskal,MCAR,1.0558437790741948e-08,0.03716733907056808
18,18,0.0,kruskal,MAR,1.0558437790741948e-08,0.03716733907056808
18,18,0.0,kruskal,MNAR,1.0558437790741948e-08,0.03716733907056808
18,18,0.1,anova,MCAR,1.869801774356045e-113,0.48097216254095765
18,18,0.1,anova,MAR,3.361398102071789e-119,0.460548957170315
18,18,0.1,anova,MNAR,8.610773288791891e-109,0.42968517193903016
18,18,0.1,kruskal,MCAR,1.1858680135645727e-06,0.03414131548682633
18,18,0.1,kruskal,MAR,4.3702027552328104e-09,0.0434284516652283
18,18,0.1,kruskal,MNAR,0.00023454006502232616,0.018216387507244747
18,18,0.2,anova,MCAR,1.0968905585101152e-86,0.47635377735728945
18,18,0.2,anova,MAR,1.349541482174879e-100,0.44307649383816106
18,18,0.2,anova,MNAR,2.6087136384554342e-86,0.39455849169009033
18,18,0.2,kruskal,MCAR,8.357133433767316e-05,0.02981065894683642
18,18,0.2,kruskal,MAR,1.1444096503776535e-07,0.040261309290162375
18,18,0.2,kruskal,MNAR,0.0008893517476954438,0.016977791380910576
18,18,0.3,anova,MCAR,2.3666749926509437e-61,0.463684720230012
18,18,0.3,anova,MAR,1.0366549402383429e-79,0.4123506914585061
18,18,0.3,anova,MNAR,5.90917174161087e-40,0.25171697021346046
18,18,0.3,kruskal,MCAR,0.004214527975505478,0.022378369713634993
18,18,0.3,kruskal,MAR,1.5784741953517312e-06,0.03828454186166443
18,18,0.3,kruskal,MNAR,0.3866193024199228,-0.00018199712529528767
18,18,0.4,anova,MCAR,1.5662322179953804e-49,0.47698562393797045
18,18,0.4,anova,MAR,5.1907771856257906e-71,0.4229168228296551
18,18,0.4,anova,MNAR,1.256805007817018e-28,0.2073285922718499
18,18,0.4,kruskal,MCAR,0.00046020395505952383,0.042103757472405356
18,18,0.4,kruskal,MAR,2.0005498228004015e-06,0.04364909042673648
18,18,0.4,kruskal,MNAR,0.5052308860461318,-0.001327448727616973
19,19,0.0,anova,MCAR,8.073412375588785e-151,0.5033013180897279
19,19,0.0,anova,MAR,8.073412375588785e-151,0.5033013180897279
19,19,0.0,anova,MNAR,8.073412375588785e-151,0.5033013180897279
19,19,0.0,kruskal,MCAR,5.284661597215745e-14,0.062142424033796835
